date,region,channel,category,product,units,unit_price,discount_pct,revenue,unit_cost,cost,gross_profit
2024-12-28,EMEA,Online,Media & Entertainment,Board Game,11,34.99,0.0,384.89,19.24,211.64,173.25
2024-12-28,LATAM,In-store,Media & Entertainment,Blu-ray Box Set,9,39.99,0.0,359.91,29.99,269.91,90.0
2024-12-28,LATAM,Online,Beauty & Wellness,Collagen Powder,4,34.99,0.25,104.97,14.0,56.0,48.97
2024-12-28,UK & Ireland,In-store,Home & Kitchen,Air Fryer,15,89.99,0.0,1349.85,62.99,944.85,405.0
2024-12-28,UK & Ireland,Online,Media & Entertainment,Blu-ray Box Set,5,39.99,0.1,179.96,29.99,149.95,30.01
2024-12-29,APAC,In-store,Apparel,Running Tee,14,24.99,0.15,297.38,11.25,157.5,139.88
2024-12-29,APAC,In-store,Home & Kitchen,Cookware Set,7,129.99,0.0,909.93,84.49,591.43,318.5
2024-12-29,APAC,Online,Apparel,Wool Socks 3-pack,3,14.99,0.0,44.97,6.0,18.0,26.97
2024-12-29,EMEA,In-store,Beauty & Wellness,Vitamin C Serum,5,29.99,0.15,127.46,10.5,52.5,74.96
2024-12-29,EMEA,Online,Media & Entertainment,Vinyl Record,2,27.99,0.15,47.58,16.79,33.58,14.0
2024-12-29,LATAM,Online,Media & Entertainment,Vinyl Record,4,27.99,0.15,95.17,16.79,67.16,28.01
2024-12-29,North America,In-store,Apparel,Wool Socks 3-pack,9,14.99,0.0,134.91,6.0,54.0,80.91
2024-12-29,North America,In-store,Media & Entertainment,Blu-ray Box Set,9,39.99,0.2,287.93,29.99,269.91,18.02
2024-12-29,North America,Online,Apparel,Running Tee,3,24.99,0.0,74.97,11.25,33.75,41.22
2024-12-29,North America,Online,Beauty & Wellness,Vitamin C Serum,12,29.99,0.0,359.88,10.5,126.0,233.88
2024-12-29,North America,Online,Electronics,Wireless Earbuds,9,79.99,0.0,719.91,51.99,467.91,252.0
2024-12-29,North America,Online,Media & Entertainment,Blu-ray Box Set,9,39.99,0.0,359.91,29.99,269.91,90.0
2024-12-29,UK & Ireland,In-store,Electronics,Smart Speaker,9,49.99,0.0,449.91,34.99,314.91,135.0
2024-12-29,UK & Ireland,In-store,Home & Kitchen,Coffee Grinder,3,39.99,0.0,119.97,23.99,71.97,48.0
2024-12-29,UK & Ireland,Online,Electronics,Smart Speaker,3,49.99,0.0,149.97,34.99,104.97,45.0
2024-12-29,UK & Ireland,Online,Electronics,USB-C Charger,5,19.99,0.0,99.95,10.99,54.95,45.0
2024-12-29,UK & Ireland,Online,Home & Kitchen,Air Fryer,4,89.99,0.25,269.97,62.99,251.96,18.01
2024-12-30,APAC,In-store,Electronics,Smart Speaker,17,49.99,0.0,849.83,34.99,594.83,255.0
2024-12-30,APAC,In-store,Electronics,USB-C Charger,11,19.99,0.0,219.89,10.99,120.89,99.0
2024-12-30,APAC,Online,Apparel,Denim Jacket,1,69.99,0.15,59.49,34.99,34.99,24.5
2024-12-30,APAC,Online,Home & Kitchen,Coffee Grinder,1,39.99,0.0,39.99,23.99,23.99,16.0
2024-12-30,EMEA,In-store,Apparel,Running Tee,9,24.99,0.0,224.91,11.25,101.25,123.66
2024-12-30,LATAM,In-store,Beauty & Wellness,Collagen Powder,5,34.99,0.0,174.95,14.0,70.0,104.95
2024-12-30,LATAM,In-store,Media & Entertainment,Blu-ray Box Set,8,39.99,0.15,271.93,29.99,239.92,32.01
2024-12-30,LATAM,In-store,Media & Entertainment,Vinyl Record,7,27.99,0.25,146.95,16.79,117.53,29.42
2024-12-30,LATAM,Online,Beauty & Wellness,Electric Toothbrush,11,59.99,0.0,659.89,32.99,362.89,297.0
2024-12-31,APAC,In-store,Apparel,Denim Jacket,6,69.99,0.0,419.94,34.99,209.94,210.0
2024-12-31,APAC,In-store,Apparel,Running Tee,10,24.99,0.0,249.9,11.25,112.5,137.4
2024-12-31,APAC,In-store,Beauty & Wellness,Collagen Powder,9,34.99,0.0,314.91,14.0,126.0,188.91
2024-12-31,APAC,In-store,Electronics,USB-C Charger,10,19.99,0.25,149.92,10.99,109.9,40.02
2024-12-31,APAC,Online,Apparel,Denim Jacket,5,69.99,0.0,349.95,34.99,174.95,175.0
2024-12-31,APAC,Online,Electronics,Smart Speaker,6,49.99,0.0,299.94,34.99,209.94,90.0
2024-12-31,EMEA,In-store,Apparel,Wool Socks 3-pack,14,14.99,0.0,209.86,6.0,84.0,125.86
2024-12-31,EMEA,In-store,Electronics,Wireless Earbuds,10,79.99,0.0,799.9,51.99,519.9,280.0
2024-12-31,EMEA,In-store,Media & Entertainment,Board Game,11,34.99,0.1,346.4,19.24,211.64,134.76
2024-12-31,LATAM,In-store,Beauty & Wellness,Electric Toothbrush,2,59.99,0.2,95.98,32.99,65.98,30.0
2024-12-31,LATAM,In-store,Beauty & Wellness,Vitamin C Serum,4,29.99,0.25,89.97,10.5,42.0,47.97
2024-12-31,LATAM,In-store,Home & Kitchen,Cookware Set,3,129.99,0.0,389.97,84.49,253.47,136.5
2024-12-31,LATAM,In-store,Media & Entertainment,Board Game,5,34.99,0.25,131.21,19.24,96.2,35.01
2024-12-31,LATAM,Online,Home & Kitchen,Air Fryer,4,89.99,0.0,359.96,62.99,251.96,108.0
2024-12-31,North America,In-store,Apparel,Denim Jacket,4,69.99,0.0,279.96,34.99,139.96,140.0
2024-12-31,North America,In-store,Beauty & Wellness,Vitamin C Serum,13,29.99,0.0,389.87,10.5,136.5,253.37
2024-12-31,North America,Online,Electronics,Smart Speaker,2,49.99,0.0,99.98,34.99,69.98,30.0
2024-12-31,North America,Online,Media & Entertainment,Board Game,4,34.99,0.0,139.96,19.24,76.96,63.0
2024-12-31,UK & Ireland,In-store,Beauty & Wellness,Electric Toothbrush,6,59.99,0.25,269.95,32.99,197.94,72.01
2024-12-31,UK & Ireland,In-store,Home & Kitchen,Coffee Grinder,4,39.99,0.0,159.96,23.99,95.96,64.0
2024-12-31,UK & Ireland,Online,Apparel,Denim Jacket,2,69.99,0.1,125.98,34.99,69.98,56.0
2025-01-01,APAC,In-store,Media & Entertainment,Blu-ray Box Set,7,39.99,0.0,279.93,29.99,209.93,70.0
2025-01-01,EMEA,In-store,Beauty & Wellness,Collagen Powder,9,34.99,0.0,314.91,14.0,126.0,188.91
2025-01-01,EMEA,In-store,Home & Kitchen,Air Fryer,6,89.99,0.0,539.94,62.99,377.94,162.0
2025-01-01,EMEA,Online,Apparel,Running Tee,2,24.99,0.0,49.98,11.25,22.5,27.48
2025-01-01,EMEA,Online,Media & Entertainment,Board Game,7,34.99,0.15,208.19,19.24,134.68,73.51
2025-01-01,North America,In-store,Electronics,Smart Speaker,7,49.99,0.0,349.93,34.99,244.93,105.0
2025-01-01,North America,Online,Electronics,Smart Speaker,3,49.99,0.15,127.47,34.99,104.97,22.5
2025-01-01,North America,Online,Media & Entertainment,Board Game,5,34.99,0.15,148.71,19.24,96.2,52.51
2025-01-01,UK & Ireland,In-store,Apparel,Denim Jacket,1,69.99,0.25,52.49,34.99,34.99,17.5
2025-01-02,APAC,In-store,Media & Entertainment,Board Game,8,34.99,0.0,279.92,19.24,153.92,126.0
2025-01-02,APAC,Online,Apparel,Running Tee,7,24.99,0.0,174.93,11.25,78.75,96.18
2025-01-02,APAC,Online,Home & Kitchen,Air Fryer,3,89.99,0.0,269.97,62.99,188.97,81.0
2025-01-02,APAC,Online,Media & Entertainment,Blu-ray Box Set,2,39.99,0.25,59.98,29.99,59.98,0.0
2025-01-02,EMEA,Online,Apparel,Running Tee,2,24.99,0.2,39.98,11.25,22.5,17.48
2025-01-02,EMEA,Online,Media & Entertainment,Board Game,1,34.99,0.25,26.24,19.24,19.24,7.0
2025-01-02,LATAM,In-store,Home & Kitchen,Coffee Grinder,1,39.99,0.2,31.99,23.99,23.99,8.0
2025-01-02,LATAM,Online,Home & Kitchen,Air Fryer,3,89.99,0.0,269.97,62.99,188.97,81.0
2025-01-02,LATAM,Online,Home & Kitchen,Cookware Set,4,129.99,0.0,519.96,84.49,337.96,182.0
2025-01-03,APAC,In-store,Apparel,Denim Jacket,4,69.99,0.15,237.97,34.99,139.96,98.01
2025-01-03,APAC,In-store,Beauty & Wellness,Collagen Powder,2,34.99,0.0,69.98,14.0,28.0,41.98
2025-01-03,LATAM,In-store,Electronics,Smart Speaker,4,49.99,0.15,169.97,34.99,139.96,30.01
2025-01-03,LATAM,In-store,Home & Kitchen,Coffee Grinder,3,39.99,0.25,89.98,23.99,71.97,18.01
2025-01-03,LATAM,In-store,Media & Entertainment,Vinyl Record,5,27.99,0.0,139.95,16.79,83.95,56.0
2025-01-03,LATAM,Online,Home & Kitchen,Coffee Grinder,3,39.99,0.0,119.97,23.99,71.97,48.0
2025-01-03,North America,In-store,Beauty & Wellness,Collagen Powder,16,34.99,0.15,475.86,14.0,224.0,251.86
2025-01-03,North America,In-store,Home & Kitchen,Coffee Grinder,7,39.99,0.15,237.94,23.99,167.93,70.01
2025-01-03,North America,Online,Home & Kitchen,Air Fryer,5,89.99,0.15,382.46,62.99,314.95,67.51
2025-01-03,UK & Ireland,In-store,Electronics,Wireless Earbuds,3,79.99,0.0,239.97,51.99,155.97,84.0
2025-01-03,UK & Ireland,Online,Electronics,Smart Speaker,2,49.99,0.0,99.98,34.99,69.98,30.0
2025-01-04,APAC,In-store,Apparel,Denim Jacket,6,69.99,0.0,419.94,34.99,209.94,210.0
2025-01-04,APAC,In-store,Electronics,Wireless Earbuds,8,79.99,0.2,511.94,51.99,415.92,96.02
2025-01-04,APAC,In-store,Media & Entertainment,Board Game,6,34.99,0.2,167.95,19.24,115.44,52.51
2025-01-04,APAC,Online,Electronics,Smart Speaker,4,49.99,0.0,199.96,34.99,139.96,60.0
2025-01-04,APAC,Online,Home & Kitchen,Coffee Grinder,2,39.99,0.0,79.98,23.99,47.98,32.0
2025-01-04,EMEA,In-store,Apparel,Denim Jacket,5,69.99,0.0,349.95,34.99,174.95,175.0
2025-01-04,LATAM,In-store,Apparel,Wool Socks 3-pack,11,14.99,0.2,131.91,6.0,66.0,65.91
2025-01-04,LATAM,In-store,Media & Entertainment,Blu-ray Box Set,5,39.99,0.0,199.95,29.99,149.95,50.0
2025-01-04,LATAM,In-store,Media & Entertainment,Board Game,4,34.99,0.0,139.96,19.24,76.96,63.0
2025-01-04,North America,In-store,Apparel,Wool Socks 3-pack,19,14.99,0.0,284.81,6.0,114.0,170.81
2025-01-04,North America,Online,Apparel,Wool Socks 3-pack,1,14.99,0.15,12.74,6.0,6.0,6.74
2025-01-04,North America,Online,Home & Kitchen,Cookware Set,2,129.99,0.0,259.98,84.49,168.98,91.0
2025-01-04,UK & Ireland,In-store,Apparel,Denim Jacket,6,69.99,0.0,419.94,34.99,209.94,210.0
2025-01-04,UK & Ireland,In-store,Home & Kitchen,Coffee Grinder,7,39.99,0.1,251.94,23.99,167.93,84.01
2025-01-04,UK & Ireland,In-store,Media & Entertainment,Blu-ray Box Set,6,39.99,0.25,179.95,29.99,179.94,0.01
2025-01-04,UK & Ireland,In-store,Media & Entertainment,Board Game,6,34.99,0.0,209.94,19.24,115.44,94.5
2025-01-04,UK & Ireland,Online,Apparel,Running Tee,4,24.99,0.0,99.96,11.25,45.0,54.96
2025-01-05,APAC,Online,Apparel,Running Tee,4,24.99,0.0,99.96,11.25,45.0,54.96
2025-01-05,APAC,Online,Electronics,Smart Speaker,5,49.99,0.0,249.95,34.99,174.95,75.0
2025-01-05,APAC,Online,Electronics,USB-C Charger,7,19.99,0.0,139.93,10.99,76.93,63.0
2025-01-05,EMEA,In-store,Beauty & Wellness,Vitamin C Serum,3,29.99,0.0,89.97,10.5,31.5,58.47
2025-01-05,EMEA,Online,Beauty & Wellness,Collagen Powder,2,34.99,0.1,62.98,14.0,28.0,34.98
2025-01-05,LATAM,In-store,Home & Kitchen,Cookware Set,2,129.99,0.25,194.99,84.49,168.98,26.01
2025-01-05,LATAM,In-store,Media & Entertainment,Vinyl Record,7,27.99,0.0,195.93,16.79,117.53,78.4
2025-01-05,LATAM,Online,Beauty & Wellness,Collagen Powder,1,34.99,0.0,34.99,14.0,14.0,20.99
2025-01-05,LATAM,Online,Media & Entertainment,Blu-ray Box Set,1,39.99,0.2,31.99,29.99,29.99,2.0
2025-01-05,North America,In-store,Electronics,Wireless Earbuds,10,79.99,0.15,679.91,51.99,519.9,160.01
2025-01-06,APAC,In-store,Beauty & Wellness,Electric Toothbrush,4,59.99,0.1,215.96,32.99,131.96,84.0
2025-01-06,APAC,Online,Media & Entertainment,Board Game,2,34.99,0.2,55.98,19.24,38.48,17.5
2025-01-06,APAC,Online,Media & Entertainment,Vinyl Record,2,27.99,0.2,44.78,16.79,33.58,11.2
2025-01-06,EMEA,In-store,Home & Kitchen,Cookware Set,4,129.99,0.0,519.96,84.49,337.96,182.0
2025-01-06,EMEA,Online,Beauty & Wellness,Vitamin C Serum,4,29.99,0.1,107.96,10.5,42.0,65.96
2025-01-06,LATAM,In-store,Apparel,Running Tee,5,24.99,0.15,106.21,11.25,56.25,49.96
2025-01-06,LATAM,In-store,Beauty & Wellness,Collagen Powder,3,34.99,0.25,78.73,14.0,42.0,36.73
2025-01-06,LATAM,In-store,Media & Entertainment,Board Game,3,34.99,0.0,104.97,19.24,57.72,47.25
2025-01-06,North America,In-store,Beauty & Wellness,Vitamin C Serum,5,29.99,0.0,149.95,10.5,52.5,97.45
2025-01-06,North America,In-store,Electronics,Smart Speaker,1,49.99,0.25,37.49,34.99,34.99,2.5
2025-01-06,North America,Online,Home & Kitchen,Air Fryer,2,89.99,0.1,161.98,62.99,125.98,36.0
2025-01-06,North America,Online,Media & Entertainment,Blu-ray Box Set,1,39.99,0.2,31.99,29.99,29.99,2.0
2025-01-06,North America,Online,Media & Entertainment,Board Game,1,34.99,0.0,34.99,19.24,19.24,15.75
2025-01-06,UK & Ireland,In-store,Apparel,Running Tee,6,24.99,0.0,149.94,11.25,67.5,82.44
2025-01-06,UK & Ireland,In-store,Home & Kitchen,Air Fryer,3,89.99,0.2,215.98,62.99,188.97,27.01
2025-01-06,UK & Ireland,In-store,Home & Kitchen,Coffee Grinder,4,39.99,0.0,159.96,23.99,95.96,64.0
2025-01-06,UK & Ireland,In-store,Media & Entertainment,Blu-ray Box Set,5,39.99,0.1,179.96,29.99,149.95,30.01
2025-01-06,UK & Ireland,Online,Apparel,Denim Jacket,1,69.99,0.0,69.99,34.99,34.99,35.0
2025-01-06,UK & Ireland,Online,Beauty & Wellness,Collagen Powder,1,34.99,0.1,31.49,14.0,14.0,17.49
2025-01-06,UK & Ireland,Online,Beauty & Wellness,Electric Toothbrush,3,59.99,0.0,179.97,32.99,98.97,81.0
2025-01-06,UK & Ireland,Online,Media & Entertainment,Blu-ray Box Set,1,39.99,0.0,39.99,29.99,29.99,10.0
2025-01-07,APAC,In-store,Electronics,Smart Speaker,12,49.99,0.0,599.88,34.99,419.88,180.0
2025-01-07,APAC,Online,Beauty & Wellness,Electric Toothbrush,3,59.99,0.25,134.98,32.99,98.97,36.01
2025-01-07,APAC,Online,Beauty & Wellness,Vitamin C Serum,3,29.99,0.1,80.97,10.5,31.5,49.47
2025-01-07,EMEA,In-store,Home & Kitchen,Air Fryer,4,89.99,0.1,323.96,62.99,251.96,72.0
2025-01-07,EMEA,Online,Beauty & Wellness,Vitamin C Serum,2,29.99,0.1,53.98,10.5,21.0,32.98
2025-01-07,LATAM,In-store,Apparel,Running Tee,4,24.99,0.25,74.97,11.25,45.0,29.97
2025-01-07,LATAM,In-store,Electronics,Smart Speaker,2,49.99,0.0,99.98,34.99,69.98,30.0
2025-01-07,LATAM,Online,Electronics,USB-C Charger,3,19.99,0.0,59.97,10.99,32.97,27.0
2025-01-07,North America,In-store,Beauty & Wellness,Vitamin C Serum,5,29.99,0.0,149.95,10.5,52.5,97.45
2025-01-07,North America,In-store,Media & Entertainment,Blu-ray Box Set,6,39.99,0.0,239.94,29.99,179.94,60.0
2025-01-07,North America,In-store,Media & Entertainment,Board Game,5,34.99,0.0,174.95,19.24,96.2,78.75
2025-01-07,North America,Online,Apparel,Wool Socks 3-pack,4,14.99,0.0,59.96,6.0,24.0,35.96
2025-01-07,North America,Online,Media & Entertainment,Board Game,1,34.99,0.0,34.99,19.24,19.24,15.75
2025-01-07,UK & Ireland,In-store,Apparel,Wool Socks 3-pack,3,14.99,0.0,44.97,6.0,18.0,26.97
2025-01-07,UK & Ireland,Online,Apparel,Wool Socks 3-pack,2,14.99,0.0,29.98,6.0,12.0,17.98
2025-01-07,UK & Ireland,Online,Media & Entertainment,Blu-ray Box Set,1,39.99,0.15,33.99,29.99,29.99,4.0
2025-01-08,APAC,In-store,Electronics,USB-C Charger,8,19.99,0.0,159.92,10.99,87.92,72.0
2025-01-08,APAC,In-store,Electronics,Wireless Earbuds,4,79.99,0.0,319.96,51.99,207.96,112.0
2025-01-08,APAC,Online,Apparel,Wool Socks 3-pack,2,14.99,0.0,29.98,6.0,12.0,17.98
2025-01-08,EMEA,In-store,Home & Kitchen,Coffee Grinder,4,39.99,0.1,143.96,23.99,95.96,48.0
2025-01-08,LATAM,In-store,Beauty & Wellness,Vitamin C Serum,5,29.99,0.2,119.96,10.5,52.5,67.46
2025-01-08,LATAM,Online,Media & Entertainment,Blu-ray Box Set,3,39.99,0.0,119.97,29.99,89.97,30.0
2025-01-08,North America,In-store,Electronics,Smart Speaker,7,49.99,0.2,279.94,34.99,244.93,35.01
2025-01-08,North America,In-store,Electronics,Wireless Earbuds,7,79.99,0.0,559.93,51.99,363.93,196.0
2025-01-08,North America,In-store,Home & Kitchen,Air Fryer,1,89.99,0.0,89.99,62.99,62.99,27.0
2025-01-08,North America,In-store,Home & Kitchen,Cookware Set,8,129.99,0.0,1039.92,84.49,675.92,364.0
2025-01-08,UK & Ireland,In-store,Electronics,USB-C Charger,15,19.99,0.0,299.85,10.99,164.85,135.0
2025-01-08,UK & Ireland,In-store,Media & Entertainment,Blu-ray Box Set,3,39.99,0.0,119.97,29.99,89.97,30.0
2025-01-09,APAC,In-store,Electronics,USB-C Charger,13,19.99,0.1,233.88,10.99,142.87,91.01
2025-01-09,APAC,In-store,Home & Kitchen,Coffee Grinder,3,39.99,0.0,119.97,23.99,71.97,48.0
2025-01-09,APAC,Online,Apparel,Wool Socks 3-pack,3,14.99,0.0,44.97,6.0,18.0,26.97
2025-01-09,APAC,Online,Media & Entertainment,Vinyl Record,2,27.99,0.0,55.98,16.79,33.58,22.4
2025-01-09,EMEA,In-store,Home & Kitchen,Air Fryer,5,89.99,0.0,449.95,62.99,314.95,135.0
2025-01-09,EMEA,In-store,Media & Entertainment,Blu-ray Box Set,10,39.99,0.15,339.92,29.99,299.9,40.02
2025-01-09,EMEA,Online,Beauty & Wellness,Collagen Powder,1,34.99,0.0,34.99,14.0,14.0,20.99
2025-01-09,EMEA,Online,Media & Entertainment,Vinyl Record,1,27.99,0.2,22.39,16.79,16.79,5.6
2025-01-09,LATAM,In-store,Home & Kitchen,Coffee Grinder,3,39.99,0.0,119.97,23.99,71.97,48.0
2025-01-09,LATAM,In-store,Media & Entertainment,Board Game,5,34.99,0.0,174.95,19.24,96.2,78.75
2025-01-09,LATAM,Online,Beauty & Wellness,Collagen Powder,3,34.99,0.1,94.47,14.0,42.0,52.47
2025-01-09,LATAM,Online,Media & Entertainment,Vinyl Record,2,27.99,0.0,55.98,16.79,33.58,22.4
2025-01-09,UK & Ireland,In-store,Apparel,Wool Socks 3-pack,8,14.99,0.0,119.92,6.0,48.0,71.92
2025-01-09,UK & Ireland,In-store,Electronics,Wireless Earbuds,12,79.99,0.0,959.88,51.99,623.88,336.0
2025-01-10,APAC,In-store,Media & Entertainment,Vinyl Record,2,27.99,0.0,55.98,16.79,33.58,22.4
2025-01-10,APAC,Online,Electronics,Smart Speaker,9,49.99,0.0,449.91,34.99,314.91,135.0
2025-01-10,EMEA,In-store,Apparel,Wool Socks 3-pack,4,14.99,0.25,44.97,6.0,24.0,20.97
2025-01-10,EMEA,In-store,Electronics,Smart Speaker,8,49.99,0.0,399.92,34.99,279.92,120.0
2025-01-10,EMEA,Online,Electronics,Smart Speaker,1,49.99,0.0,49.99,34.99,34.99,15.0
2025-01-10,EMEA,Online,Home & Kitchen,Coffee Grinder,2,39.99,0.1,71.98,23.99,47.98,24.0
2025-01-10,EMEA,Online,Media & Entertainment,Vinyl Record,3,27.99,0.25,62.98,16.79,50.37,12.61
2025-01-10,North America,In-store,Home & Kitchen,Cookware Set,4,129.99,0.0,519.96,84.49,337.96,182.0
2025-01-10,North America,Online,Apparel,Wool Socks 3-pack,4,14.99,0.25,44.97,6.0,24.0,20.97
2025-01-10,North America,Online,Electronics,Smart Speaker,1,49.99,0.0,49.99,34.99,34.99,15.0
2025-01-10,UK & Ireland,In-store,Electronics,Wireless Earbuds,9,79.99,0.0,719.91,51.99,467.91,252.0
2025-01-10,UK & Ireland,Online,Beauty & Wellness,Collagen Powder,2,34.99,0.0,69.98,14.0,28.0,41.98
2025-01-10,UK & Ireland,Online,Beauty & Wellness,Electric Toothbrush,1,59.99,0.0,59.99,32.99,32.99,27.0
2025-01-10,UK & Ireland,Online,Media & Entertainment,Blu-ray Box Set,2,39.99,0.15,67.98,29.99,59.98,8.0
2025-01-10,UK & Ireland,Online,Media & Entertainment,Vinyl Record,2,27.99,0.1,50.38,16.79,33.58,16.8
2025-01-11,APAC,In-store,Home & Kitchen,Air Fryer,3,89.99,0.0,269.97,62.99,188.97,81.0
2025-01-11,APAC,In-store,Media & Entertainment,Board Game,7,34.99,0.0,244.93,19.24,134.68,110.25
2025-01-11,APAC,Online,Apparel,Denim Jacket,4,69.99,0.0,279.96,34.99,139.96,140.0
2025-01-11,APAC,Online,Beauty & Wellness,Collagen Powder,1,34.99,0.0,34.99,14.0,14.0,20.99
2025-01-11,EMEA,In-store,Beauty & Wellness,Electric Toothbrush,5,59.99,0.2,239.96,32.99,164.95,75.01
2025-01-11,EMEA,Online,Beauty & Wellness,Electric Toothbrush,3,59.99,0.0,179.97,32.99,98.97,81.0
2025-01-11,EMEA,Online,Beauty & Wellness,Vitamin C Serum,1,29.99,0.25,22.49,10.5,10.5,11.99
2025-01-11,EMEA,Online,Media & Entertainment,Board Game,3,34.99,0.1,94.47,19.24,57.72,36.75
2025-01-11,EMEA,Online,Media & Entertainment,Vinyl Record,4,27.99,0.2,89.57,16.79,67.16,22.41
2025-01-11,North America,Online,Beauty & Wellness,Electric Toothbrush,1,59.99,0.0,59.99,32.99,32.99,27.0
2025-01-11,North America,Online,Beauty & Wellness,Vitamin C Serum,1,29.99,0.0,29.99,10.5,10.5,19.49
2025-01-11,North America,Online,Media & Entertainment,Vinyl Record,4,27.99,0.25,83.97,16.79,67.16,16.81
2025-01-11,UK & Ireland,Online,Electronics,Smart Speaker,1,49.99,0.25,37.49,34.99,34.99,2.5
2025-01-11,UK & Ireland,Online,Home & Kitchen,Air Fryer,1,89.99,0.25,67.49,62.99,62.99,4.5
2025-01-11,UK & Ireland,Online,Media & Entertainment,Board Game,3,34.99,0.1,94.47,19.24,57.72,36.75
2025-01-12,APAC,Online,Media & Entertainment,Vinyl Record,6,27.99,0.0,167.94,16.79,100.74,67.2
2025-01-12,EMEA,In-store,Apparel,Running Tee,10,24.99,0.0,249.9,11.25,112.5,137.4
2025-01-12,EMEA,In-store,Beauty & Wellness,Collagen Powder,4,34.99,0.0,139.96,14.0,56.0,83.96
2025-01-12,EMEA,In-store,Beauty & Wellness,Vitamin C Serum,5,29.99,0.0,149.95,10.5,52.5,97.45
2025-01-12,EMEA,In-store,Electronics,Wireless Earbuds,9,79.99,0.0,719.91,51.99,467.91,252.0
2025-01-12,EMEA,In-store,Home & Kitchen,Cookware Set,5,129.99,0.25,487.46,84.49,422.45,65.01
2025-01-12,EMEA,In-store,Media & Entertainment,Board Game,10,34.99,0.0,349.9,19.24,192.4,157.5
2025-01-12,EMEA,Online,Apparel,Denim Jacket,3,69.99,0.0,209.97,34.99,104.97,105.0
2025-01-12,EMEA,Online,Beauty & Wellness,Collagen Powder,4,34.99,0.0,139.96,14.0,56.0,83.96
2025-01-12,EMEA,Online,Electronics,Wireless Earbuds,3,79.99,0.0,239.97,51.99,155.97,84.0
2025-01-12,EMEA,Online,Home & Kitchen,Air Fryer,1,89.99,0.1,80.99,62.99,62.99,18.0
2025-01-12,LATAM,Online,Apparel,Wool Socks 3-pack,3,14.99,0.0,44.97,6.0,18.0,26.97
2025-01-12,North America,In-store,Apparel,Running Tee,10,24.99,0.0,249.9,11.25,112.5,137.4
2025-01-12,North America,In-store,Electronics,Smart Speaker,5,49.99,0.0,249.95,34.99,174.95,75.0
2025-01-12,North America,In-store,Media & Entertainment,Board Game,3,34.99,0.25,78.73,19.24,57.72,21.01
2025-01-12,North America,Online,Home & Kitchen,Coffee Grinder,5,39.99,0.15,169.96,23.99,119.95,50.01
2025-01-12,UK & Ireland,In-store,Electronics,Smart Speaker,7,49.99,0.0,349.93,34.99,244.93,105.0
2025-01-12,UK & Ireland,In-store,Electronics,Wireless Earbuds,4,79.99,0.0,319.96,51.99,207.96,112.0
2025-01-13,APAC,In-store,Beauty & Wellness,Vitamin C Serum,6,29.99,0.0,179.94,10.5,63.0,116.94
2025-01-13,APAC,In-store,Electronics,Wireless Earbuds,8,79.99,0.15,543.93,51.99,415.92,128.01
2025-01-13,APAC,Online,Beauty & Wellness,Collagen Powder,3,34.99,0.0,104.97,14.0,42.0,62.97
2025-01-13,APAC,Online,Home & Kitchen,Air Fryer,3,89.99,0.1,242.97,62.99,188.97,54.0
2025-01-13,LATAM,In-store,Apparel,Denim Jacket,4,69.99,0.15,237.97,34.99,139.96,98.01
2025-01-13,LATAM,Online,Electronics,USB-C Charger,5,19.99,0.0,99.95,10.99,54.95,45.0
2025-01-13,North America,In-store,Apparel,Running Tee,13,24.99,0.0,324.87,11.25,146.25,178.62
2025-01-13,North America,In-store,Home & Kitchen,Air Fryer,5,89.99,0.2,359.96,62.99,314.95,45.01
2025-01-13,North America,In-store,Media & Entertainment,Board Game,5,34.99,0.0,174.95,19.24,96.2,78.75
2025-01-13,North America,Online,Apparel,Wool Socks 3-pack,6,14.99,0.0,89.94,6.0,36.0,53.94
2025-01-13,UK & Ireland,Online,Apparel,Running Tee,9,24.99,0.1,202.42,11.25,101.25,101.17
2025-01-14,APAC,In-store,Electronics,Smart Speaker,3,49.99,0.15,127.47,34.99,104.97,22.5
2025-01-14,EMEA,In-store,Beauty & Wellness,Electric Toothbrush,5,59.99,0.1,269.95,32.99,164.95,105.0
2025-01-14,EMEA,Online,Beauty & Wellness,Collagen Powder,1,34.99,0.0,34.99,14.0,14.0,20.99
2025-01-14,EMEA,Online,Beauty & Wellness,Electric Toothbrush,1,59.99,0.2,47.99,32.99,32.99,15.0
2025-01-14,EMEA,Online,Media & Entertainment,Vinyl Record,1,27.99,0.0,27.99,16.79,16.79,11.2
2025-01-14,LATAM,In-store,Apparel,Running Tee,4,24.99,0.0,99.96,11.25,45.0,54.96
2025-01-14,North America,In-store,Apparel,Running Tee,7,24.99,0.0,174.93,11.25,78.75,96.18
2025-01-14,North America,Online,Apparel,Denim Jacket,1,69.99,0.0,69.99,34.99,34.99,35.0
2025-01-14,North America,Online,Electronics,Smart Speaker,3,49.99,0.15,127.47,34.99,104.97,22.5
2025-01-14,UK & Ireland,Online,Beauty & Wellness,Electric Toothbrush,1,59.99,0.2,47.99,32.99,32.99,15.0
2025-01-14,UK & Ireland,Online,Media & Entertainment,Board Game,2,34.99,0.0,69.98,19.24,38.48,31.5
2025-01-15,APAC,In-store,Media & Entertainment,Board Game,4,34.99,0.0,139.96,19.24,76.96,63.0
2025-01-15,APAC,Online,Media & Entertainment,Board Game,2,34.99,0.2,55.98,19.24,38.48,17.5
